num_clients,total_demand,num_trucks,heterogeneous_fleet,demand_pattern,vns_basic_mean_cost,vns_basic_ci_cost_lower,vns_basic_ci_cost_upper,vns_basic_mean_time,vns_basic_cost_std,vns_basic_cost_cv,vns_basic_mean_routes,vns_basic_mean_load_pct,vns_basic_raw_costs,vns_basic_raw_times,vns_basic_raw_routes,vns_basic_raw_load_pcts,vns_intensive_mean_cost,vns_intensive_ci_cost_lower,vns_intensive_ci_cost_upper,vns_intensive_mean_time,vns_intensive_cost_std,vns_intensive_cost_cv,vns_intensive_mean_routes,vns_intensive_mean_load_pct,vns_intensive_raw_costs,vns_intensive_raw_times,vns_intensive_raw_routes,vns_intensive_raw_load_pcts,ag_small_mean_cost,ag_small_ci_cost_lower,ag_small_ci_cost_upper,ag_small_mean_time,ag_small_cost_std,ag_small_cost_cv,ag_small_mean_routes,ag_small_mean_load_pct,ag_small_raw_costs,ag_small_raw_times,ag_small_raw_routes,ag_small_raw_load_pcts,ag_large_mean_cost,ag_large_ci_cost_lower,ag_large_ci_cost_upper,ag_large_mean_time,ag_large_cost_std,ag_large_cost_cv,ag_large_mean_routes,ag_large_mean_load_pct,ag_large_raw_costs,ag_large_raw_times,ag_large_raw_routes,ag_large_raw_load_pcts,ag_mut_high_mean_cost,ag_mut_high_ci_cost_lower,ag_mut_high_ci_cost_upper,ag_mut_high_mean_time,ag_mut_high_cost_std,ag_mut_high_cost_cv,ag_mut_high_mean_routes,ag_mut_high_mean_load_pct,ag_mut_high_raw_costs,ag_mut_high_raw_times,ag_mut_high_raw_routes,ag_mut_high_raw_load_pcts,sa_mean_cost,sa_ci_cost_lower,sa_ci_cost_upper,sa_mean_time,sa_cost_std,sa_cost_cv,sa_mean_routes,sa_mean_load_pct,sa_raw_costs,sa_raw_times,sa_raw_routes,sa_raw_load_pcts,sa_fast_mean_cost,sa_fast_ci_cost_lower,sa_fast_ci_cost_upper,sa_fast_mean_time,sa_fast_cost_std,sa_fast_cost_cv,sa_fast_mean_routes,sa_fast_mean_load_pct,sa_fast_raw_costs,sa_fast_raw_times,sa_fast_raw_routes,sa_fast_raw_load_pcts,ts_mean_cost,ts_ci_cost_lower,ts_ci_cost_upper,ts_mean_time,ts_cost_std,ts_cost_cv,ts_mean_routes,ts_mean_load_pct,ts_raw_costs,ts_raw_times,ts_raw_routes,ts_raw_load_pcts,ts_long_mean_cost,ts_long_ci_cost_lower,ts_long_ci_cost_upper,ts_long_mean_time,ts_long_cost_std,ts_long_cost_cv,ts_long_mean_routes,ts_long_mean_load_pct,ts_long_raw_costs,ts_long_raw_times,ts_long_raw_routes,ts_long_raw_load_pcts
5,12,1,False,clustered,77.57792609796681,76.9450668063387,78.46548927978235,0.0,1.2982933820713753,0.016735345315004514,1.0,12.0,"[77.91646009986945, 76.76523982706594, 76.76523982706594, 81.19947804385045, 77.13322934811926, 76.76523982706594, 78.20267548332669, 76.76523982706594, 77.13322934811926, 77.13322934811926]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0]",76.98603353969793,76.87563668338193,77.09643039601391,9.992122650146485e-05,0.1802773114543591,0.00234168852667801,1.0,12.0,"[76.76523982706594, 77.13322934811926, 77.13322934811926, 77.13322934811926, 76.76523982706594, 77.13322934811926, 76.76523982706594, 77.13322934811926, 77.13322934811926, 76.76523982706594]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0009992122650146484, 0.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0]",76.76523982706593,76.76523982706593,76.76523982706593,0.0017008066177368164,1.4210854715202004e-14,1.8512095770449914e-16,1.0,12.0,"[76.76523982706594, 76.76523982706594, 76.76523982706594, 76.76523982706594, 76.76523982706594, 76.76523982706594, 76.76523982706594, 76.76523982706594, 76.76523982706594, 76.76523982706594]","[0.0030007362365722656, 0.0009999275207519531, 0.002000093460083008, 0.0010001659393310547, 0.002007007598876953, 0.002000093460083008, 0.0009999275207519531, 0.0019998550415039062, 0.0009999275207519531, 0.0020003318786621094]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0]",76.76523982706593,76.76523982706593,76.76523982706593,0.0030998468399047853,1.4210854715202004e-14,1.8512095770449914e-16,1.0,12.0,"[76.76523982706594, 76.76523982706594, 76.76523982706594, 76.76523982706594, 76.76523982706594, 76.76523982706594, 76.76523982706594, 76.76523982706594, 76.76523982706594, 76.76523982706594]","[0.004000186920166016, 0.0019996166229248047, 0.003000020980834961, 0.001999378204345703, 0.003000497817993164, 0.003000497817993164, 0.003999471664428711, 0.0029985904693603516, 0.003005504608154297, 0.00399470329284668]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0]",76.76523982706593,76.76523982706593,76.76523982706593,0.01336233615875244,1.4210854715202004e-14,1.8512095770449914e-16,1.0,12.0,"[76.76523982706594, 76.76523982706594, 76.76523982706594, 76.76523982706594, 76.76523982706594, 76.76523982706594, 76.76523982706594, 76.76523982706594, 76.76523982706594, 76.76523982706594]","[0.04600119590759277, 0.053240060806274414, 0.01837944984436035, 0.0030019283294677734, 0.001999378204345703, 0.003000974655151367, 0.0019991397857666016, 0.0019996166229248047, 0.0020020008087158203, 0.0019996166229248047]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0]",76.76523982706593,76.76523982706593,76.76523982706593,0.19956729412078858,1.4210854715202004e-14,1.8512095770449914e-16,1.0,12.0,"[76.76523982706594, 76.76523982706594, 76.76523982706594, 76.76523982706594, 76.76523982706594, 76.76523982706594, 76.76523982706594, 76.76523982706594, 76.76523982706594, 76.76523982706594]","[0.1870288848876953, 0.2000410556793213, 0.18003249168395996, 0.203033447265625, 0.20475411415100098, 0.20826959609985352, 0.21775531768798828, 0.18802690505981445, 0.1881711483001709, 0.21855998039245605]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0]",76.76523982706593,76.76523982706593,76.76523982706593,0.010952448844909668,1.4210854715202004e-14,1.8512095770449914e-16,1.0,12.0,"[76.76523982706594, 76.76523982706594, 76.76523982706594, 76.76523982706594, 76.76523982706594, 76.76523982706594, 76.76523982706594, 76.76523982706594, 76.76523982706594, 76.76523982706594]","[0.008999824523925781, 0.008000373840332031, 0.009999752044677734, 0.011001825332641602, 0.010999202728271484, 0.011007547378540039, 0.010518550872802734, 0.010999917984008789, 0.01000213623046875, 0.017995357513427734]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0]",41.726858974033526,41.726858974033526,41.726858974033526,0.014403128623962402,0.0,0.0,1.0,12.0,"[41.726858974033526, 41.726858974033526, 41.726858974033526, 41.726858974033526, 41.726858974033526, 41.726858974033526, 41.726858974033526, 41.726858974033526, 41.726858974033526, 41.726858974033526]","[0.015512943267822266, 0.013999223709106445, 0.015000104904174805, 0.014002084732055664, 0.01199793815612793, 0.013999700546264648, 0.016008377075195312, 0.014511346817016602, 0.014000654220581055, 0.014998912811279297]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0]",41.726858974033526,41.726858974033526,41.726858974033526,0.014403057098388673,0.0,0.0,1.0,12.0,"[41.726858974033526, 41.726858974033526, 41.726858974033526, 41.726858974033526, 41.726858974033526, 41.726858974033526, 41.726858974033526, 41.726858974033526, 41.726858974033526, 41.726858974033526]","[0.016005516052246094, 0.015511274337768555, 0.01600027084350586, 0.011999368667602539, 0.015000104904174805, 0.008999824523925781, 0.015000343322753906, 0.01500558853149414, 0.015507698059082031, 0.015000581741333008]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0]"
6,18,1,False,clustered,82.67662166250226,82.07954112738338,83.38378175324598,0.00019960403442382814,1.0439370221044737,0.012626749873331464,1.0,18.0,"[82.3900189281114, 83.08551219399554, 81.58226647847012, 84.49084513980083, 82.17193983234192, 84.49084513980083, 82.23834179695406, 83.08551219399554, 81.64866844308226, 81.58226647847012]","[0.0009953975677490234, 0.0, 0.0, 0.0010006427764892578, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0]",82.4399147128527,81.67961911329671,83.33222567840535,9.999275207519531e-05,1.3667045392914667,0.016578189631222318,1.0,18.0,"[81.64866844308226, 81.10327032582386, 84.49084513980083, 81.10327032582386, 84.49084513980083, 81.10327032582386, 83.08551219399554, 81.10327032582386, 82.3900189281114, 83.88017598044075]","[0.0, 0.0009999275207519531, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0]",81.15781013754969,81.10327032582384,81.26688976100137,0.0018006324768066405,0.16361943517752026,0.0020160651809137176,1.0,18.0,"[81.64866844308226, 81.10327032582386, 81.10327032582386, 81.10327032582386, 81.10327032582386, 81.10327032582386, 81.10327032582386, 81.10327032582386, 81.10327032582386, 81.10327032582386]","[0.003000020980834961, 0.0019996166229248047, 0.0009996891021728516, 0.002000093460083008, 0.002000570297241211, 0.0020058155059814453, 0.0010008811950683594, 0.001998424530029297, 0.0010013580322265625, 0.0019998550415039062]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0]",81.10327032582384,81.10327032582384,81.10327032582384,0.0036000728607177733,1.4210854715202004e-14,1.7521925636427967e-16,1.0,18.0,"[81.10327032582386, 81.10327032582386, 81.10327032582386, 81.10327032582386, 81.10327032582386, 81.10327032582386, 81.10327032582386, 81.10327032582386, 81.10327032582386, 81.10327032582386]","[0.0049991607666015625, 0.004001140594482422, 0.0030002593994140625, 0.003000020980834961, 0.004000425338745117, 0.002999544143676758, 0.003999948501586914, 0.0030012130737304688, 0.0039997100830078125, 0.0029993057250976562]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0]",81.10327032582384,81.10327032582384,81.10327032582384,0.0023515701293945314,1.4210854715202004e-14,1.7521925636427967e-16,1.0,18.0,"[81.10327032582386, 81.10327032582386, 81.10327032582386, 81.10327032582386, 81.10327032582386, 81.10327032582386, 81.10327032582386, 81.10327032582386, 81.10327032582386, 81.10327032582386]","[0.0035085678100585938, 0.0020062923431396484, 0.002001523971557617, 0.002001523971557617, 0.0019986629486083984, 0.0019996166229248047, 0.0030014514923095703, 0.0019979476928710938, 0.0020012855529785156, 0.002998828887939453]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0]",83.69659333370967,83.69659333370967,83.69659333370967,0.19361259937286376,0.0,0.0,1.0,18.0,"[83.69659333370967, 83.69659333370967, 83.69659333370967, 83.69659333370967, 83.69659333370967, 83.69659333370967, 83.69659333370967, 83.69659333370967, 83.69659333370967, 83.69659333370967]","[0.19103646278381348, 0.1900324821472168, 0.19703435897827148, 0.1807551383972168, 0.21498322486877441, 0.19003081321716309, 0.16666150093078613, 0.19903087615966797, 0.19355058670043945, 0.21301054954528809]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0]",85.14214905758672,85.14214905758672,85.14214905758672,0.00975182056427002,0.0,0.0,1.0,18.0,"[85.14214905758672, 85.14214905758672, 85.14214905758672, 85.14214905758672, 85.14214905758672, 85.14214905758672, 85.14214905758672, 85.14214905758672, 85.14214905758672, 85.14214905758672]","[0.009998798370361328, 0.010001897811889648, 0.009998559951782227, 0.010000228881835938, 0.011001825332641602, 0.01000666618347168, 0.011510610580444336, 0.010999917984008789, 0.007999897003173828, 0.00599980354309082]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0]",22.213419063694708,22.213419063694708,22.213419063694708,0.018702936172485352,0.0,0.0,1.0,14.000000000000004,"[22.213419063694708, 22.213419063694708, 22.213419063694708, 22.213419063694708, 22.213419063694708, 22.213419063694708, 22.213419063694708, 22.213419063694708, 22.213419063694708, 22.213419063694708]","[0.015999555587768555, 0.02200484275817871, 0.021511554718017578, 0.02200007438659668, 0.020999908447265625, 0.017998933792114258, 0.02051377296447754, 0.01999950408935547, 0.011001825332641602, 0.0149993896484375]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[14.000000000000002, 14.000000000000002, 14.000000000000002, 14.000000000000002, 14.000000000000002, 14.000000000000002, 14.000000000000002, 14.000000000000002, 14.000000000000002, 14.000000000000002]",22.213419063694708,22.213419063694708,22.213419063694708,0.014204263687133789,0.0,0.0,1.0,14.000000000000004,"[22.213419063694708, 22.213419063694708, 22.213419063694708, 22.213419063694708, 22.213419063694708, 22.213419063694708, 22.213419063694708, 22.213419063694708, 22.213419063694708, 22.213419063694708]","[0.011005163192749023, 0.01153111457824707, 0.015997648239135742, 0.010999917984008789, 0.010000228881835938, 0.010999679565429688, 0.009999752044677734, 0.019000768661499023, 0.02050948143005371, 0.021998882293701172]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[14.000000000000002, 14.000000000000002, 14.000000000000002, 14.000000000000002, 14.000000000000002, 14.000000000000002, 14.000000000000002, 14.000000000000002, 14.000000000000002, 14.000000000000002]"
7,21,1,False,clustered,75.90784097202014,73.43565569895674,78.31990053326975,0.00019979476928710938,4.1616004569551786,0.05482438182491789,1.0,21.0,"[83.49742513365565, 81.04569278119222, 73.93877990531922, 71.62333938086736, 73.41681857776153, 73.19426270039378, 77.88480801583093, 78.18747462980475, 69.33608208727648, 76.95372650809941]","[0.0, 0.0009982585906982422, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0009996891021728516, 0.0, 0.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[21.0, 21.0, 21.0, 21.0, 21.0, 21.0, 21.0, 21.0, 21.0, 21.0]",72.90916961623293,71.45988186137551,74.4380938294126,9.989738464355469e-05,2.4368767492069376,0.03342346047875406,1.0,21.0,"[69.33608208727648, 69.33608208727648, 75.99143548480873, 75.22277726080507, 76.29678113214835, 71.80243273751702, 73.41681857776153, 71.39247066517632, 74.49438339204228, 71.80243273751702]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0009989738464355469, 0.0, 0.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[21.0, 21.0, 21.0, 21.0, 21.0, 21.0, 21.0, 21.0, 21.0, 21.0]",69.33608208727648,69.33608208727648,69.33608208727648,0.001971745491027832,0.0,0.0,1.0,21.0,"[69.33608208727648, 69.33608208727648, 69.33608208727648, 69.33608208727648, 69.33608208727648, 69.33608208727648, 69.33608208727648, 69.33608208727648, 69.33608208727648, 69.33608208727648]","[0.004717588424682617, 0.0009992122650146484, 0.0020029544830322266, 0.001001119613647461, 0.001997232437133789, 0.0019998550415039062, 0.0010001659393310547, 0.0019996166229248047, 0.0019998550415039062, 0.0019998550415039062]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[21.0, 21.0, 21.0, 21.0, 21.0, 21.0, 21.0, 21.0, 21.0, 21.0]",69.33608208727648,69.33608208727648,69.33608208727648,0.0029000043869018555,0.0,0.0,1.0,21.0,"[69.33608208727648, 69.33608208727648, 69.33608208727648, 69.33608208727648, 69.33608208727648, 69.33608208727648, 69.33608208727648, 69.33608208727648, 69.33608208727648, 69.33608208727648]","[0.005001544952392578, 0.0039975643157958984, 0.004001140594482422, 0.0029993057250976562, 0.003000497817993164, 0.002000093460083008, 0.0019998550415039062, 0.0019998550415039062, 0.0019998550415039062, 0.0020003318786621094]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[21.0, 21.0, 21.0, 21.0, 21.0, 21.0, 21.0, 21.0, 21.0, 21.0]",69.33608208727648,69.33608208727648,69.33608208727648,0.009275221824645996,0.0,0.0,1.0,21.0,"[69.33608208727648, 69.33608208727648, 69.33608208727648, 69.33608208727648, 69.33608208727648, 69.33608208727648, 69.33608208727648, 69.33608208727648, 69.33608208727648, 69.33608208727648]","[0.04237008094787598, 0.02537369728088379, 0.00600123405456543, 0.0019991397857666016, 0.003002166748046875, 0.0019986629486083984, 0.0020003318786621094, 0.0030059814453125, 0.001992464065551758, 0.0050084590911865234]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[21.0, 21.0, 21.0, 21.0, 21.0, 21.0, 21.0, 21.0, 21.0, 21.0]",69.33608208727648,69.33608208727648,69.33608208727648,0.1930166721343994,0.0,0.0,1.0,21.0,"[69.33608208727648, 69.33608208727648, 69.33608208727648, 69.33608208727648, 69.33608208727648, 69.33608208727648, 69.33608208727648, 69.33608208727648, 69.33608208727648, 69.33608208727648]","[0.20275092124938965, 0.21503114700317383, 0.18917226791381836, 0.2105543613433838, 0.22785162925720215, 0.2061913013458252, 0.20603513717651367, 0.18304157257080078, 0.15403294563293457, 0.13550543785095215]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[21.0, 21.0, 21.0, 21.0, 21.0, 21.0, 21.0, 21.0, 21.0, 21.0]",73.39995941832717,73.39995941832717,73.39995941832717,0.00585787296295166,0.0,0.0,1.0,21.0,"[73.39995941832717, 73.39995941832717, 73.39995941832717, 73.39995941832717, 73.39995941832717, 73.39995941832717, 73.39995941832717, 73.39995941832717, 73.39995941832717, 73.39995941832717]","[0.005002498626708984, 0.004999399185180664, 0.0055124759674072266, 0.005000114440917969, 0.004999876022338867, 0.00500035285949707, 0.006000041961669922, 0.007002830505371094, 0.009999275207519531, 0.0050618648529052734]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[21.0, 21.0, 21.0, 21.0, 21.0, 21.0, 21.0, 21.0, 21.0, 21.0]",5.783661905180233,5.783661905180233,5.783661905180233,0.004051685333251953,0.0,0.0,1.0,8.0,"[5.783661905180233, 5.783661905180233, 5.783661905180233, 5.783661905180233, 5.783661905180233, 5.783661905180233, 5.783661905180233, 5.783661905180233, 5.783661905180233, 5.783661905180233]","[0.0029993057250976562, 0.0030002593994140625, 0.003004789352416992, 0.0019998550415039062, 0.0029993057250976562, 0.00400090217590332, 0.005509138107299805, 0.0060002803802490234, 0.005000591278076172, 0.0060024261474609375]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0]",5.783661905180233,5.783661905180233,5.783661905180233,0.020017337799072266,0.0,0.0,1.0,8.0,"[5.783661905180233, 5.783661905180233, 5.783661905180233, 5.783661905180233, 5.783661905180233, 5.783661905180233, 5.783661905180233, 5.783661905180233, 5.783661905180233, 5.783661905180233]","[0.02700185775756836, 0.026885986328125, 0.029778718948364258, 0.022001028060913086, 0.013001441955566406, 0.013000726699829102, 0.015509366989135742, 0.02700066566467285, 0.013998746871948242, 0.01199483871459961]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0]"
8,20,1,False,clustered,111.20821266054948,107.46585869189597,114.86668767846456,9.987354278564453e-05,6.037308816759452,0.05428833601694199,1.0,20.0,"[110.56540020814799, 115.8193231187855, 117.01852922918688, 106.96362081606584, 122.10629705042348, 108.00377711834493, 106.90892609634224, 116.89734131093492, 102.43035094858142, 105.3685607086815]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0009987354278564453, 0.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0]",109.77143754291887,106.71482817907712,112.61181754633692,0.00020008087158203126,4.832520738601399,0.04402348048609604,1.0,20.0,"[116.5742788901224, 105.3685607086815, 112.26253385664072, 104.49170727314711, 102.11148669745394, 116.20682608006243, 112.88658858589392, 105.3685607086815, 110.77406636029076, 111.66976626821453]","[0.0010020732879638672, 0.0, 0.0, 0.0, 0.0, 0.0009987354278564453, 0.0, 0.0, 0.0, 0.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0]",102.11148669745396,102.11148669745396,102.11148669745396,0.0019006967544555665,1.4210854715202004e-14,1.3916999129889602e-16,1.0,20.0,"[102.11148669745394, 102.11148669745394, 102.11148669745394, 102.11148669745394, 102.11148669745394, 102.11148669745394, 102.11148669745394, 102.11148669745394, 102.11148669745394, 102.11148669745394]","[0.004008054733276367, 0.0019981861114501953, 0.0020003318786621094, 0.002000093460083008, 0.0019998550415039062, 0.0010006427764892578, 0.0009996891021728516, 0.0020003318786621094, 0.0019996166229248047, 0.0010001659393310547]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0]",102.11148669745396,102.11148669745396,102.11148669745396,0.00330047607421875,1.4210854715202004e-14,1.3916999129889602e-16,1.0,20.0,"[102.11148669745394, 102.11148669745394, 102.11148669745394, 102.11148669745394, 102.11148669745394, 102.11148669745394, 102.11148669745394, 102.11148669745394, 102.11148669745394, 102.11148669745394]","[0.0039997100830078125, 0.0039997100830078125, 0.004000186920166016, 0.004000425338745117, 0.0039997100830078125, 0.003000497817993164, 0.0019991397857666016, 0.0019998550415039062, 0.0030002593994140625, 0.0030052661895751953]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0]",102.11148669745396,102.11148669745396,102.11148669745396,0.0020000219345092775,1.4210854715202004e-14,1.3916999129889602e-16,1.0,20.0,"[102.11148669745394, 102.11148669745394, 102.11148669745394, 102.11148669745394, 102.11148669745394, 102.11148669745394, 102.11148669745394, 102.11148669745394, 102.11148669745394, 102.11148669745394]","[0.002000093460083008, 0.0019998550415039062, 0.0010001659393310547, 0.0020020008087158203, 0.0019989013671875, 0.0010006427764892578, 0.0029990673065185547, 0.001999378204345703, 0.003000497817993164, 0.0019996166229248047]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0]",102.11148669745396,102.11148669745396,102.11148669745396,0.1802002191543579,1.4210854715202004e-14,1.3916999129889602e-16,1.0,20.0,"[102.11148669745394, 102.11148669745394, 102.11148669745394, 102.11148669745394, 102.11148669745394, 102.11148669745394, 102.11148669745394, 102.11148669745394, 102.11148669745394, 102.11148669745394]","[0.1471705436706543, 0.18703126907348633, 0.18604350090026855, 0.24051976203918457, 0.1860356330871582, 0.20304560661315918, 0.18603754043579102, 0.13950419425964355, 0.1680305004119873, 0.1585836410522461]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0]",106.96362081606586,106.96362081606586,106.96362081606586,0.009429287910461426,1.4210854715202004e-14,1.3285689664188652e-16,1.0,20.0,"[106.96362081606584, 106.96362081606584, 106.96362081606584, 106.96362081606584, 106.96362081606584, 106.96362081606584, 106.96362081606584, 106.96362081606584, 106.96362081606584, 106.96362081606584]","[0.010560989379882812, 0.009998083114624023, 0.01022028923034668, 0.011002063751220703, 0.009998321533203125, 0.009999990463256836, 0.009999990463256836, 0.01000356674194336, 0.007509946823120117, 0.004999637603759766]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0]",42.291702123551474,42.291702123551474,42.291702123551474,0.005500316619873047,0.0,0.0,1.0,9.0,"[42.291702123551474, 42.291702123551474, 42.291702123551474, 42.291702123551474, 42.291702123551474, 42.291702123551474, 42.291702123551474, 42.291702123551474, 42.291702123551474, 42.291702123551474]","[0.006999015808105469, 0.007001161575317383, 0.00799870491027832, 0.0060007572174072266, 0.0059986114501953125, 0.0070002079010009766, 0.0039997100830078125, 0.004004478454589844, 0.003000020980834961, 0.003000497817993164]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]",42.291702123551474,42.291702123551474,42.291702123551474,0.017952775955200194,0.0,0.0,1.0,9.0,"[42.291702123551474, 42.291702123551474, 42.291702123551474, 42.291702123551474, 42.291702123551474, 42.291702123551474, 42.291702123551474, 42.291702123551474, 42.291702123551474, 42.291702123551474]","[0.015999794006347656, 0.017002344131469727, 0.017000198364257812, 0.016000032424926758, 0.015007972717285156, 0.016517162322998047, 0.016000032424926758, 0.021996736526489258, 0.022999286651611328, 0.021004199981689453]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]"
