num_clients,total_demand,num_trucks,heterogeneous_fleet,demand_pattern,vns_basic_mean_cost,vns_basic_ci_cost_lower,vns_basic_ci_cost_upper,vns_basic_mean_time,vns_basic_cost_std,vns_basic_cost_cv,vns_basic_mean_routes,vns_basic_mean_load_pct,vns_basic_raw_costs,vns_basic_raw_times,vns_basic_raw_routes,vns_basic_raw_load_pcts,vns_intensive_mean_cost,vns_intensive_ci_cost_lower,vns_intensive_ci_cost_upper,vns_intensive_mean_time,vns_intensive_cost_std,vns_intensive_cost_cv,vns_intensive_mean_routes,vns_intensive_mean_load_pct,vns_intensive_raw_costs,vns_intensive_raw_times,vns_intensive_raw_routes,vns_intensive_raw_load_pcts,sa_mean_cost,sa_ci_cost_lower,sa_ci_cost_upper,sa_mean_time,sa_cost_std,sa_cost_cv,sa_mean_routes,sa_mean_load_pct,sa_raw_costs,sa_raw_times,sa_raw_routes,sa_raw_load_pcts,sa_fast_mean_cost,sa_fast_ci_cost_lower,sa_fast_ci_cost_upper,sa_fast_mean_time,sa_fast_cost_std,sa_fast_cost_cv,sa_fast_mean_routes,sa_fast_mean_load_pct,sa_fast_raw_costs,sa_fast_raw_times,sa_fast_raw_routes,sa_fast_raw_load_pcts,ts_mean_cost,ts_ci_cost_lower,ts_ci_cost_upper,ts_mean_time,ts_cost_std,ts_cost_cv,ts_mean_routes,ts_mean_load_pct,ts_raw_costs,ts_raw_times,ts_raw_routes,ts_raw_load_pcts,ts_long_mean_cost,ts_long_ci_cost_lower,ts_long_ci_cost_upper,ts_long_mean_time,ts_long_cost_std,ts_long_cost_cv,ts_long_mean_routes,ts_long_mean_load_pct,ts_long_raw_costs,ts_long_raw_times,ts_long_raw_routes,ts_long_raw_load_pcts
5,8,1,False,uniform,77.22886358210934,76.91716080645162,77.59358068482034,0.000501704216003418,0.5679151731997039,0.0073536647680423175,1.0,8.0,"[76.76523982706594, 76.76523982706594, 78.13975894482786, 76.76523982706594, 76.76523982706594, 78.13975894482786, 77.13322934811926, 76.76523982706594, 77.13322934811926, 77.91646009986945]","[0.0010228157043457031, 0.00099945068359375, 0.000997781753540039, 0.0009984970092773438, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0009984970092773438]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0]",77.38078456149502,77.02755766276762,77.71954239261292,0.000897979736328125,0.5519526705429612,0.007132942288848477,1.0,8.0,"[78.13975894482786, 76.76523982706594, 76.76523982706594, 77.13322934811926, 77.13322934811926, 77.91646009986945, 77.91646009986945, 78.13975894482786, 76.76523982706594, 77.13322934811926]","[0.0010075569152832031, 0.000990152359008789, 0.001001119613647461, 0.0, 0.0009980201721191406, 0.0010004043579101562, 0.0010013580322265625, 0.0010035037994384766, 0.0009832382202148438, 0.0009944438934326172]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0]",76.76523982706593,76.76523982706593,76.76523982706593,0.10282092094421387,1.4210854715202004e-14,1.8512095770449914e-16,1.0,8.0,"[76.76523982706594, 76.76523982706594, 76.76523982706594, 76.76523982706594, 76.76523982706594, 76.76523982706594, 76.76523982706594, 76.76523982706594, 76.76523982706594, 76.76523982706594]","[0.09899640083312988, 0.1280052661895752, 0.09751176834106445, 0.09699892997741699, 0.1365351676940918, 0.10399341583251953, 0.1271684169769287, 0.07899999618530273, 0.08000040054321289, 0.07999944686889648]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0]",76.76523982706593,76.76523982706593,76.76523982706593,0.003999900817871094,1.4210854715202004e-14,1.8512095770449914e-16,1.0,8.0,"[76.76523982706594, 76.76523982706594, 76.76523982706594, 76.76523982706594, 76.76523982706594, 76.76523982706594, 76.76523982706594, 76.76523982706594, 76.76523982706594, 76.76523982706594]","[0.0039975643157958984, 0.004000186920166016, 0.003998517990112305, 0.004000186920166016, 0.0039997100830078125, 0.003999948501586914, 0.004000186920166016, 0.0040035247802734375, 0.003997802734375, 0.0040013790130615234]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0]",41.726858974033526,41.726858974033526,41.726858974033526,0.0062999725341796875,0.0,0.0,1.0,6.0,"[41.726858974033526, 41.726858974033526, 41.726858974033526, 41.726858974033526, 41.726858974033526, 41.726858974033526, 41.726858974033526, 41.726858974033526, 41.726858974033526, 41.726858974033526]","[0.0050008296966552734, 0.00599980354309082, 0.0050165653228759766, 0.0049991607666015625, 0.006000041961669922, 0.005982160568237305, 0.004999876022338867, 0.004999876022338867, 0.009000062942504883, 0.011001348495483398]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0]",41.726858974033526,41.726858974033526,41.726858974033526,0.006300139427185059,0.0,0.0,1.0,6.0,"[41.726858974033526, 41.726858974033526, 41.726858974033526, 41.726858974033526, 41.726858974033526, 41.726858974033526, 41.726858974033526, 41.726858974033526, 41.726858974033526, 41.726858974033526]","[0.005998373031616211, 0.007002353668212891, 0.005997896194458008, 0.006001472473144531, 0.005997896194458008, 0.006000518798828125, 0.0060002803802490234, 0.006999969482421875, 0.00599980354309082, 0.007002830505371094]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0]"
6,20,1,False,uniform,82.8384806139215,82.16308175488898,83.58654262297492,0.000897669792175293,1.2316103060385977,0.014867611005308784,1.0,20.0,"[83.49557281528142, 81.58226647847012, 83.08551219399554, 83.08551219399554, 81.58226647847012, 83.08551219399554, 81.10327032582386, 81.98268796551574, 84.06265455893652, 85.31955093473077]","[0.0009777545928955078, 0.0, 0.0009989738464355469, 0.0010008811950683594, 0.0009996891021728516, 0.00099945068359375, 0.001001596450805664, 0.0009996891021728516, 0.0010001659393310547, 0.0009984970092773438]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0]",82.72654259683387,81.88925120329604,83.64433178549564,0.0011999845504760743,1.4279655666262039,0.017261274577681375,1.0,20.0,"[83.88898311450282, 81.10327032582386, 81.58226647847012, 81.58226647847012, 85.31955093473077, 81.10327032582386, 81.64866844308226, 84.06265455893652, 83.88898311450282, 83.08551219399554]","[0.0009999275207519531, 0.00099945068359375, 0.00099945068359375, 0.0010004043579101562, 0.0010020732879638672, 0.001998424530029297, 0.0020003318786621094, 0.000997781753540039, 0.0010018348693847656, 0.0010001659393310547]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0]",83.69659333370967,83.69659333370967,83.69659333370967,0.10713460445404052,0.0,0.0,1.0,20.0,"[83.69659333370967, 83.69659333370967, 83.69659333370967, 83.69659333370967, 83.69659333370967, 83.69659333370967, 83.69659333370967, 83.69659333370967, 83.69659333370967, 83.69659333370967]","[0.13151335716247559, 0.09599637985229492, 0.11653470993041992, 0.09299349784851074, 0.12816834449768066, 0.08000588417053223, 0.11199331283569336, 0.08300185203552246, 0.09299850463867188, 0.13814020156860352]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0]",85.14214905758672,85.14214905758672,85.14214905758672,0.004699444770812989,0.0,0.0,1.0,20.0,"[85.14214905758672, 85.14214905758672, 85.14214905758672, 85.14214905758672, 85.14214905758672, 85.14214905758672, 85.14214905758672, 85.14214905758672, 85.14214905758672, 85.14214905758672]","[0.003998756408691406, 0.0039997100830078125, 0.004000186920166016, 0.0039997100830078125, 0.00299835205078125, 0.004000425338745117, 0.0039997100830078125, 0.0039997100830078125, 0.007998943328857422, 0.007998943328857422]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0]",22.213419063694708,22.213419063694708,22.213419063694708,0.007399868965148926,0.0,0.0,1.0,28.000000000000007,"[22.213419063694708, 22.213419063694708, 22.213419063694708, 22.213419063694708, 22.213419063694708, 22.213419063694708, 22.213419063694708, 22.213419063694708, 22.213419063694708, 22.213419063694708]","[0.0070002079010009766, 0.0069997310638427734, 0.0070002079010009766, 0.007016897201538086, 0.006999015808105469, 0.006986856460571289, 0.010018110275268555, 0.007000446319580078, 0.007002115249633789, 0.007975101470947266]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[28.000000000000004, 28.000000000000004, 28.000000000000004, 28.000000000000004, 28.000000000000004, 28.000000000000004, 28.000000000000004, 28.000000000000004, 28.000000000000004, 28.000000000000004]",22.213419063694708,22.213419063694708,22.213419063694708,0.007200002670288086,0.0,0.0,1.0,28.000000000000007,"[22.213419063694708, 22.213419063694708, 22.213419063694708, 22.213419063694708, 22.213419063694708, 22.213419063694708, 22.213419063694708, 22.213419063694708, 22.213419063694708, 22.213419063694708]","[0.0070002079010009766, 0.006999969482421875, 0.007999897003173828, 0.007000923156738281, 0.006999015808105469, 0.00800013542175293, 0.006999969482421875, 0.007002830505371094, 0.006997108459472656, 0.006999969482421875]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[28.000000000000004, 28.000000000000004, 28.000000000000004, 28.000000000000004, 28.000000000000004, 28.000000000000004, 28.000000000000004, 28.000000000000004, 28.000000000000004, 28.000000000000004]"
7,11,1,False,uniform,71.48934181099067,70.99607168094255,71.80243273751702,0.0005456447601318359,0.7445981735145456,0.010415513063236402,1.0,11.0,"[71.80243273751702, 71.80243273751702, 71.80243273751702, 71.80243273751702, 71.80243273751702, 69.33608208727648, 71.80243273751702, 71.80243273751702, 71.13787412249395, 71.80243273751702]","[0.0, 0.0010001659393310547, 0.0009989738464355469, 0.0, 0.001001596450805664, 0.0010006427764892578, 0.0, 0.001455068588256836, 0.0, 0.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0]",71.30916260746892,70.56925741239675,71.80243273751702,0.0014001131057739258,0.9865402600962171,0.013834691420046025,1.0,11.0,"[71.80243273751702, 69.33608208727648, 69.33608208727648, 71.80243273751702, 71.80243273751702, 71.80243273751702, 71.80243273751702, 71.80243273751702, 71.80243273751702, 71.80243273751702]","[0.0020012855529785156, 0.0010001659393310547, 0.0009980201721191406, 0.0020041465759277344, 0.0009987354278564453, 0.0009992122650146484, 0.0020012855529785156, 0.0009984970092773438, 0.002001523971557617, 0.0009982585906982422]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0]",69.33608208727648,69.33608208727648,69.33608208727648,0.09293923377990723,0.0,0.0,1.0,11.0,"[69.33608208727648, 69.33608208727648, 69.33608208727648, 69.33608208727648, 69.33608208727648, 69.33608208727648, 69.33608208727648, 69.33608208727648, 69.33608208727648, 69.33608208727648]","[0.11300086975097656, 0.10699796676635742, 0.08400130271911621, 0.1119999885559082, 0.09613943099975586, 0.08900237083435059, 0.08202743530273438, 0.08096981048583984, 0.0840003490447998, 0.0812528133392334]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0]",73.39995941832717,73.39995941832717,73.39995941832717,0.004363799095153808,0.0,0.0,1.0,11.0,"[73.39995941832717, 73.39995941832717, 73.39995941832717, 73.39995941832717, 73.39995941832717, 73.39995941832717, 73.39995941832717, 73.39995941832717, 73.39995941832717, 73.39995941832717]","[0.0050029754638671875, 0.007603645324707031, 0.006928920745849609, 0.0030825138092041016, 0.004004478454589844, 0.0030040740966796875, 0.0029947757720947266, 0.004001617431640625, 0.00400543212890625, 0.0030095577239990234]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0]",5.783661905180233,5.783661905180233,5.783661905180233,0.002001357078552246,0.0,0.0,1.0,8.0,"[5.783661905180233, 5.783661905180233, 5.783661905180233, 5.783661905180233, 5.783661905180233, 5.783661905180233, 5.783661905180233, 5.783661905180233, 5.783661905180233, 5.783661905180233]","[0.0019948482513427734, 0.0020101070404052734, 0.0019903182983398438, 0.002001523971557617, 0.0020008087158203125, 0.0020008087158203125, 0.0020036697387695312, 0.0019903182983398438, 0.0020155906677246094, 0.0020055770874023438]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0]",5.783661905180233,5.783661905180233,5.783661905180233,0.009591507911682128,0.0,0.0,1.0,8.0,"[5.783661905180233, 5.783661905180233, 5.783661905180233, 5.783661905180233, 5.783661905180233, 5.783661905180233, 5.783661905180233, 5.783661905180233, 5.783661905180233, 5.783661905180233]","[0.009020090103149414, 0.00998997688293457, 0.00898289680480957, 0.010999917984008789, 0.010014533996582031, 0.00899362564086914, 0.010006904602050781, 0.009016275405883789, 0.009978055953979492, 0.008912801742553711]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0]"
8,15,1,False,uniform,104.2768046666361,104.2768046666361,104.2768046666361,0.0007997512817382813,1.4210854715202004e-14,1.362801129228391e-16,1.0,15.0,"[104.27680466663611, 104.27680466663611, 104.27680466663611, 104.27680466663611, 104.27680466663611, 104.27680466663611, 104.27680466663611, 104.27680466663611, 104.27680466663611, 104.27680466663611]","[0.0009996891021728516, 0.0010035037994384766, 0.000995635986328125, 0.0, 0.00099945068359375, 0.0010001659393310547, 0.0009996891021728516, 0.0009989738464355469, 0.0, 0.0010004043579101562]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0]",104.2768046666361,104.2768046666361,104.2768046666361,0.0020997285842895507,1.4210854715202004e-14,1.362801129228391e-16,1.0,15.0,"[104.27680466663611, 104.27680466663611, 104.27680466663611, 104.27680466663611, 104.27680466663611, 104.27680466663611, 104.27680466663611, 104.27680466663611, 104.27680466663611, 104.27680466663611]","[0.0019974708557128906, 0.0009996891021728516, 0.002000093460083008, 0.0010001659393310547, 0.002001047134399414, 0.0009989738464355469, 0.0030014514923095703, 0.002998828887939453, 0.0029997825622558594, 0.0029997825622558594]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0]",102.11148669745396,102.11148669745396,102.11148669745396,0.093078875541687,1.4210854715202004e-14,1.3916999129889602e-16,1.0,15.0,"[102.11148669745394, 102.11148669745394, 102.11148669745394, 102.11148669745394, 102.11148669745394, 102.11148669745394, 102.11148669745394, 102.11148669745394, 102.11148669745394, 102.11148669745394]","[0.08299779891967773, 0.08300209045410156, 0.14713788032531738, 0.12100005149841309, 0.07902145385742188, 0.08397722244262695, 0.08000040054321289, 0.09601879119873047, 0.07961368560791016, 0.07801938056945801]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0]",106.96362081606586,106.96362081606586,106.96362081606586,0.0037013530731201173,1.4210854715202004e-14,1.3285689664188652e-16,1.0,15.0,"[106.96362081606584, 106.96362081606584, 106.96362081606584, 106.96362081606584, 106.96362081606584, 106.96362081606584, 106.96362081606584, 106.96362081606584, 106.96362081606584, 106.96362081606584]","[0.0040056705474853516, 0.003002166748046875, 0.0040018558502197266, 0.003908634185791016, 0.004018545150756836, 0.004063606262207031, 0.003000974655151367, 0.004009723663330078, 0.004001617431640625, 0.0030007362365722656]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0]",42.291702123551474,42.291702123551474,42.291702123551474,0.0022001743316650392,0.0,0.0,1.0,36.0,"[42.291702123551474, 42.291702123551474, 42.291702123551474, 42.291702123551474, 42.291702123551474, 42.291702123551474, 42.291702123551474, 42.291702123551474, 42.291702123551474, 42.291702123551474]","[0.003026247024536133, 0.001977682113647461, 0.0020029544830322266, 0.002004384994506836, 0.001988649368286133, 0.0020084381103515625, 0.0029909610748291016, 0.0020003318786621094, 0.0019185543060302734, 0.0020835399627685547]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[36.0, 36.0, 36.0, 36.0, 36.0, 36.0, 36.0, 36.0, 36.0, 36.0]",42.291702123551474,42.291702123551474,42.291702123551474,0.011092782020568848,0.0,0.0,1.0,36.0,"[42.291702123551474, 42.291702123551474, 42.291702123551474, 42.291702123551474, 42.291702123551474, 42.291702123551474, 42.291702123551474, 42.291702123551474, 42.291702123551474, 42.291702123551474]","[0.010016679763793945, 0.01099848747253418, 0.0109100341796875, 0.010996818542480469, 0.010996580123901367, 0.011032342910766602, 0.011056900024414062, 0.011912107467651367, 0.011001348495483398, 0.012006521224975586]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[36.0, 36.0, 36.0, 36.0, 36.0, 36.0, 36.0, 36.0, 36.0, 36.0]"
