param_value,avg_cost,std_cost,ci_lower,ci_upper,avg_time,cv,parameter
100.0,266.684499520842,0.0,266.684499520842,266.684499520842,0.0027086496353149413,0.0,sa_wrapper_init_temp
500.0,273.44252709615756,5.684341886080802e-14,273.44252709615756,273.44252709615756,0.003009128570556641,2.0788068141580157e-16,sa_wrapper_init_temp
1000.0,153.65618541471778,0.0,153.65618541471778,153.65618541471778,0.0030998945236206054,0.0,sa_wrapper_init_temp
2000.0,256.9757422623394,0.0,256.9757422623394,256.9757422623394,0.003309893608093262,0.0,sa_wrapper_init_temp
5000.0,259.62996262587296,5.684341886080802e-14,259.62996262587296,259.62996262587296,0.0034981727600097655,2.1894013420446175e-16,sa_wrapper_init_temp
0.8,153.65618541471778,0.0,153.65618541471778,153.65618541471778,0.003308820724487305,0.0,sa_wrapper_alpha
0.9,153.65618541471778,0.0,153.65618541471778,153.65618541471778,0.003209543228149414,0.0,sa_wrapper_alpha
0.95,153.65618541471778,0.0,153.65618541471778,153.65618541471778,0.003200125694274902,0.0,sa_wrapper_alpha
0.98,153.65618541471778,0.0,153.65618541471778,153.65618541471778,0.0031983375549316405,0.0,sa_wrapper_alpha
0.995,153.65618541471778,0.0,153.65618541471778,153.65618541471778,0.0032001495361328124,0.0,sa_wrapper_alpha
50.0,153.65618541471778,0.0,153.65618541471778,153.65618541471778,0.0034198999404907227,0.0,sa_wrapper_iterPerTemp
100.0,153.65618541471778,0.0,153.65618541471778,153.65618541471778,0.003300046920776367,0.0,sa_wrapper_iterPerTemp
150.0,153.65618541471778,0.0,153.65618541471778,153.65618541471778,0.003300189971923828,0.0,sa_wrapper_iterPerTemp
200.0,153.65618541471778,0.0,153.65618541471778,153.65618541471778,0.0034905433654785155,0.0,sa_wrapper_iterPerTemp
10.0,41.726858974033526,0.0,41.726858974033526,41.726858974033526,0.01451716423034668,0.0,ts_wrapper_tabu_tenure
25.0,41.726858974033526,0.0,41.726858974033526,41.726858974033526,0.015501761436462402,0.0,ts_wrapper_tabu_tenure
50.0,41.726858974033526,0.0,41.726858974033526,41.726858974033526,0.013699674606323242,0.0,ts_wrapper_tabu_tenure
100.0,41.726858974033526,0.0,41.726858974033526,41.726858974033526,0.013999843597412109,0.0,ts_wrapper_tabu_tenure
200.0,41.726858974033526,0.0,41.726858974033526,41.726858974033526,0.014300131797790527,0.0,ts_wrapper_tabu_tenure
100.0,41.726858974033526,0.0,41.726858974033526,41.726858974033526,0.01449441909790039,0.0,ts_wrapper_no_improve_limit
200.0,41.726858974033526,0.0,41.726858974033526,41.726858974033526,0.013999152183532714,0.0,ts_wrapper_no_improve_limit
300.0,41.726858974033526,0.0,41.726858974033526,41.726858974033526,0.013999843597412109,0.0,ts_wrapper_no_improve_limit
400.0,41.726858974033526,0.0,41.726858974033526,41.726858974033526,0.015200495719909668,0.0,ts_wrapper_no_improve_limit
200.0,41.726858974033526,0.0,41.726858974033526,41.726858974033526,0.014600515365600586,0.0,ts_wrapper_diversification_interval
300.0,41.726858974033526,0.0,41.726858974033526,41.726858974033526,0.013919734954833984,0.0,ts_wrapper_diversification_interval
500.0,41.726858974033526,0.0,41.726858974033526,41.726858974033526,0.013800358772277832,0.0,ts_wrapper_diversification_interval
700.0,41.726858974033526,0.0,41.726858974033526,41.726858974033526,0.013700342178344727,0.0,ts_wrapper_diversification_interval
50.0,183.05722564963747,6.66952659801954,178.95043395140183,187.02456027194287,0.0013108968734741211,0.036434107281756174,vns_wrapper_max_iter
100.0,174.11051901626269,6.211579067650946,170.36120193677294,178.08553488286603,0.002588963508605957,0.03567607002004719,vns_wrapper_max_iter
200.0,167.3703256128164,8.156011275195395,162.3871553953342,172.6991986092207,0.00489962100982666,0.048730330453338425,vns_wrapper_max_iter
500.0,166.50159432286765,5.7765634771383505,163.14925472575482,170.2327056988897,0.013623905181884766,0.03469374272739313,vns_wrapper_max_iter
1000.0,164.4842544380773,4.7968278244826275,161.75721006083523,167.40923295272466,0.030790281295776368,0.029162838965163498,vns_wrapper_max_iter
10.0,167.80948022678484,6.402797830145141,164.36559034660317,171.95387534471618,0.005500888824462891,0.03815516156472285,vns_wrapper_time_limit
20.0,171.20802438601106,6.061194325770728,167.7617524018863,175.16710111976352,0.004799985885620117,0.035402513097779614,vns_wrapper_time_limit
30.0,171.16383735777282,5.522822241276331,168.17858054487994,174.97550810250706,0.005308389663696289,0.03226629132958926,vns_wrapper_time_limit
60.0,169.7862260474662,6.861820713985502,165.68299749275033,174.18701752636258,0.0052012443542480465,0.04041447220852403,vns_wrapper_time_limit
10.0,167.80434067087498,4.390529208833117,165.10721323251587,170.80386190860045,0.005536818504333496,0.026164574714098325,vns_wrapper_max_no_improve
20.0,174.10861210289247,9.048994312820668,168.3875902601716,179.7921943224345,0.005100464820861817,0.05197327233573609,vns_wrapper_max_no_improve
30.0,173.2953355889996,5.26601792045466,169.93887455804452,176.74612849379827,0.005590200424194336,0.03038753410503759,vns_wrapper_max_no_improve
50.0,167.9769944694564,4.958054335858303,164.9145090333328,170.96936035723917,0.005100512504577636,0.029516270079233,vns_wrapper_max_no_improve
