num_clients,total_demand,truck_capacity,num_trucks_required,optimal_cost,optimal_time,optimal_trucks,optimal_cap_util,standard_mean_cost,standard_cost_ci_lower,standard_cost_ci_upper,standard_mean_time,standard_mean_trucks,standard_mean_cap_util,standard_mean_gap,standard_raw_costs,standard_raw_times,standard_raw_gaps,intensive_mean_cost,intensive_cost_ci_lower,intensive_cost_ci_upper,intensive_mean_time,intensive_mean_trucks,intensive_mean_cap_util,intensive_mean_gap,intensive_raw_costs,intensive_raw_times,intensive_raw_gaps,vns_mean_cost,vns_cost_ci_lower,vns_cost_ci_upper,vns_mean_time,vns_mean_trucks,vns_mean_cap_util,vns_mean_gap,vns_raw_costs,vns_raw_times,vns_raw_gaps
3,7,30,1,67.2310174299879,0.001984834671020508,1,23.333333333333332,67.2310174299879,67.2310174299879,67.2310174299879,0.0017160415649414063,1.0,23.333333333333332,0.0,"[67.2310174299879, 67.2310174299879, 67.2310174299879, 67.2310174299879, 67.2310174299879]","[0.002000570297241211, 0.001995086669921875, 0.0017368793487548828, 0.000835418701171875, 0.0020122528076171875]","[0.0, 0.0, 0.0, 0.0, 0.0]",67.2310174299879,67.2310174299879,67.2310174299879,0.003787851333618164,1.0,23.333333333333332,0.0,"[67.2310174299879, 67.2310174299879, 67.2310174299879, 67.2310174299879, 67.2310174299879]","[0.0029985904693603516, 0.004016876220703125, 0.003078937530517578, 0.005827426910400391, 0.003017425537109375]","[0.0, 0.0, 0.0, 0.0, 0.0]",67.2310174299879,67.2310174299879,67.2310174299879,0.0,1.0,23.333333333333332,0.0,"[67.2310174299879, 67.2310174299879, 67.2310174299879, 67.2310174299879, 67.2310174299879]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]"
4,10,30,1,67.28754005264446,0.0010423660278320312,1,33.33333333333333,67.28754005264446,67.28754005264446,67.28754005264446,0.00151824951171875,1.0,33.33333333333333,0.0,"[67.28754005264446, 67.28754005264446, 67.28754005264446, 67.28754005264446, 67.28754005264446]","[0.0025811195373535156, 0.0011167526245117188, 0.0019249916076660156, 0.0010099411010742188, 0.0009584426879882812]","[0.0, 0.0, 0.0, 0.0, 0.0]",67.28754005264446,67.28754005264446,67.28754005264446,0.0040531158447265625,1.0,33.33333333333333,0.0,"[67.28754005264446, 67.28754005264446, 67.28754005264446, 67.28754005264446, 67.28754005264446]","[0.0039598941802978516, 0.004032135009765625, 0.003966569900512695, 0.004006862640380859, 0.004300117492675781]","[0.0, 0.0, 0.0, 0.0, 0.0]",67.28754005264446,67.28754005264446,67.28754005264446,0.0,1.0,33.33333333333333,0.0,"[67.28754005264446, 67.28754005264446, 67.28754005264446, 67.28754005264446, 67.28754005264446]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]"
5,11,30,1,69.57469431849243,0.0015916824340820312,1,36.666666666666664,69.57469431849243,69.57469431849243,69.57469431849243,0.0016158103942871093,1.0,36.666666666666664,0.0,"[69.57469431849243, 69.57469431849243, 69.57469431849243, 69.57469431849243, 69.57469431849243]","[0.0020017623901367188, 0.001984834671020508, 0.001123189926147461, 0.001878976821899414, 0.0010902881622314453]","[0.0, 0.0, 0.0, 0.0, 0.0]",69.57469431849243,69.57469431849243,69.57469431849243,0.004113674163818359,1.0,36.666666666666664,0.0,"[69.57469431849243, 69.57469431849243, 69.57469431849243, 69.57469431849243, 69.57469431849243]","[0.003998756408691406, 0.004103660583496094, 0.0039026737213134766, 0.004343509674072266, 0.004219770431518555]","[0.0, 0.0, 0.0, 0.0, 0.0]",69.57469431849243,69.57469431849243,69.57469431849243,0.0,1.0,36.666666666666664,0.0,"[69.57469431849243, 69.57469431849243, 69.57469431849243, 69.57469431849243, 69.57469431849243]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]"
6,13,30,1,70.70455180043807,0.0027320384979248047,1,43.333333333333336,70.89993806285554,70.89993806285554,70.89993806285554,0.0016042232513427735,1.0,43.333333333333336,0.2763418442548719,"[70.89993806285554, 70.89993806285554, 70.89993806285554, 70.89993806285554, 70.89993806285554]","[0.0020461082458496094, 0.0010373592376708984, 0.0019376277923583984, 0.0010957717895507812, 0.0019042491912841797]","[0.2763418442548719, 0.2763418442548719, 0.2763418442548719, 0.2763418442548719, 0.2763418442548719]",70.89993806285554,70.89993806285554,70.89993806285554,0.00449681282043457,1.0,43.333333333333336,0.2763418442548719,"[70.89993806285554, 70.89993806285554, 70.89993806285554, 70.89993806285554, 70.89993806285554]","[0.003997802734375, 0.0050013065338134766, 0.005298137664794922, 0.004178047180175781, 0.004008769989013672]","[0.2763418442548719, 0.2763418442548719, 0.2763418442548719, 0.2763418442548719, 0.2763418442548719]",71.88757734908087,70.82178355788855,72.9879830832718,0.0,1.0,43.333333333333336,1.6731957399035138,"[73.3801995521311, 70.89993806285554, 70.89993806285554, 73.5532592671241, 70.70455180043807]","[0.0, 0.0, 0.0, 0.0, 0.0]","[3.7842652043746594, 0.2763418442548719, 0.2763418442548719, 4.029029806633166, 0.0]"
7,15,30,1,70.70455180043807,0.0069811344146728516,1,50.0,70.70455180043807,70.70455180043807,70.70455180043807,0.00200800895690918,1.0,50.0,0.0,"[70.70455180043807, 70.70455180043807, 70.70455180043807, 70.70455180043807, 70.70455180043807]","[0.0020372867584228516, 0.002002716064453125, 0.001996278762817383, 0.002002239227294922, 0.002001523971557617]","[0.0, 0.0, 0.0, 0.0, 0.0]",70.70455180043807,70.70455180043807,70.70455180043807,0.004999637603759766,1.0,50.0,0.0,"[70.70455180043807, 70.70455180043807, 70.70455180043807, 70.70455180043807, 70.70455180043807]","[0.005997657775878906, 0.0050029754638671875, 0.005011796951293945, 0.003984928131103516, 0.0050008296966552734]","[0.0, 0.0, 0.0, 0.0, 0.0]",73.7186074470709,72.32034481319286,75.0774449107522,0.00020055770874023439,1.0,50.0,4.26288770649438,"[75.10008136796526, 75.10008136796526, 71.60442478327018, 71.8015506342538, 74.98689908189998]","[0.0, 0.0010027885437011719, 0.0, 0.0, 0.0]","[6.216756143131308, 6.216756143131308, 1.2727228444527556, 1.551525051614761, 6.056678350141775]"
